name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license
tensorflow,tensorflow,C++,197075,76074,197075,3105,2015-11-07 01:19:20+00:00,2026-08-20 07:19:22+00:00,Apache License 2.0
transformers,huggingface,Python,164278,34293,164278,2393,2018-10-29 13:56:00+00:00,2026-08-20 08:30:42+00:00,Apache License 2.0
ML-For-Beginners,microsoft,Jupyter Notebook,89583,21996,89583,14,2021-03-03 01:34:05+00:00,2026-08-20 08:34:07+00:00,MIT License
funNLP,fighting41love,Python,82560,15267,82560,52,2018-08-21 11:20:39+00:00,2026-08-20 08:20:46+00:00,No License
awesome-machine-learning,josephmisiti,Python,74079,15614,74079,26,2014-07-15 19:11:19+00:00,2026-08-20 07:12:41+00:00,Other
scikit-learn,scikit-learn,Python,66977,27293,66977,2124,2010-08-17 09:43:38+00:00,2026-08-20 07:18:55+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
gradio,gradio-app,Python,43390,3577,43390,177,2018-12-19 08:24:04+00:00,2026-08-20 06:59:45+00:00,Apache License 2.0
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,Unknown,36400,7444,36400,68,2021-01-02 12:08:37+00:00,2026-08-20 08:19:44+00:00,No License
C-Plus-Plus,TheAlgorithms,C++,34589,7850,34589,29,2016-07-16 10:19:45+00:00,2026-08-20 06:11:08+00:00,MIT License
netron,lutzroeder,JavaScript,33369,3172,33369,16,2010-12-26 12:53:43+00:00,2026-08-20 07:49:08+00:00,MIT License
ML-From-Scratch,eriklindernoren,Python,32496,5430,32496,77,2017-02-05 12:11:23+00:00,2026-08-20 05:46:14+00:00,MIT License
applied-ml,eugeneyan,Unknown,30068,3992,30068,8,2020-07-04 18:57:47+00:00,2026-08-20 05:57:31+00:00,MIT License
machine-learning-for-software-engineers,ZuzooVn,Unknown,28864,6148,28864,32,2016-10-09 21:20:25+00:00,2026-08-19 23:29:01+00:00,Creative Commons Attribution Share Alike 4.0 International
linkedin-skill-assessments-quizzes,Ebazhanov,Python,28804,12906,28804,21,2019-07-13 19:52:56+00:00,2026-08-20 00:12:46+00:00,GNU Affero General Public License v3.0
cs249r_book,harvard-edge,Python,27961,3532,27961,25,2023-09-06 19:31:06+00:00,2026-08-20 05:43:44+00:00,Other
shap,shap,Jupyter Notebook,25693,3741,25693,1010,2016-11-22 19:17:08+00:00,2026-08-19 18:08:29+00:00,MIT License
homemade-machine-learning,trekhleb,Jupyter Notebook,24770,4194,24770,30,2018-11-01 04:34:19+00:00,2026-08-20 05:17:09+00:00,MIT License
Paddle,PaddlePaddle,C++,24059,6013,24059,1504,2016-08-15 06:59:08+00:00,2026-08-20 07:59:20+00:00,Apache License 2.0
best-of-ml-python,lukasmasuch,Unknown,23721,3143,23721,54,2020-11-29 19:41:36+00:00,2026-08-20 07:11:28+00:00,Creative Commons Attribution Share Alike 4.0 International
C,TheAlgorithms,C,22330,4768,22330,18,2016-07-16 10:17:03+00:00,2026-08-19 15:44:00+00:00,GNU General Public License v3.0
onnx,onnx,Python,21335,4004,21335,286,2017-09-07 04:53:45+00:00,2026-08-20 06:29:21+00:00,Apache License 2.0
rasa,RasaHQ,Python,21297,4919,21297,153,2016-10-14 12:27:49+00:00,2026-08-20 06:16:26+00:00,Apache License 2.0
video2x,k4yt3x,C++,20988,1820,20988,130,2018-02-24 16:34:41+00:00,2026-08-20 08:00:25+00:00,GNU Affero General Public License v3.0
awesome-production-machine-learning,EthicalML,Unknown,20854,2590,20854,31,2018-08-15 14:28:41+00:00,2026-08-20 07:15:04+00:00,MIT License
machine-learning-for-trading,stefan-jansen,Jupyter Notebook,20539,5537,20539,7,2018-05-09 12:33:08+00:00,2026-08-20 07:32:01+00:00,MIT License
stanford-cs-229-machine-learning,afshinea,Unknown,20132,4249,20132,20,2018-08-04 23:01:00+00:00,2026-08-20 02:03:06+00:00,MIT License
ml-agents,Unity-Technologies,C#,19639,4485,19639,20,2017-09-08 21:09:04+00:00,2026-08-20 08:18:32+00:00,Other
LightGBM,lightgbm-org,C++,18701,4055,18701,511,2016-08-05 05:45:50+00:00,2026-08-20 06:13:31+00:00,MIT License
ml-engineering,stas00,Python,18662,1202,18662,3,2020-09-02 19:23:01+00:00,2026-08-20 08:29:05+00:00,Creative Commons Attribution Share Alike 4.0 International
Machine-Learning-Tutorials,ujjwalkarn,Unknown,18114,3969,18114,47,2015-09-12 14:51:38+00:00,2026-08-20 07:15:33+00:00,Creative Commons Zero v1.0 Universal
ML-NLP,NLP-LOVE,Jupyter Notebook,17793,4627,17793,36,2019-07-05 12:49:53+00:00,2026-08-19 01:55:15+00:00,No License
brpc,apache,C++,17587,4135,17587,460,2017-09-04 09:28:47+00:00,2026-08-20 06:40:42+00:00,Apache License 2.0
ML-YouTube-Courses,dair-ai,Unknown,17376,2125,17376,21,2021-06-25 09:39:16+00:00,2026-08-20 03:50:10+00:00,Creative Commons Zero v1.0 Universal
numpy-ml,ddbourgin,Python,16333,3744,16333,47,2019-04-06 22:29:49+00:00,2026-08-20 05:59:35+00:00,GNU General Public License v3.0
transformers.js,huggingface,JavaScript,16259,1180,16259,276,2023-02-13 13:51:45+00:00,2026-08-20 02:34:07+00:00,Apache License 2.0
mml-book.github.io,mml-book,Jupyter Notebook,15892,2844,15892,197,2017-12-08 10:52:21+00:00,2026-08-20 02:56:08+00:00,No License
kubeflow,kubeflow,Unknown,15824,2691,15824,0,2017-11-30 18:44:19+00:00,2026-08-20 01:56:32+00:00,Apache License 2.0
cheatsheets-ai,kailashahirwar,Unknown,15428,3372,15428,12,2017-05-24 12:06:56+00:00,2026-08-19 20:45:21+00:00,MIT License
ggml,ggml-org,C++,15203,1783,15203,347,2022-09-18 17:07:19+00:00,2026-08-20 05:10:00+00:00,MIT License
Qix,ty4z2008,Unknown,15187,4575,15187,0,2014-04-20 11:03:15+00:00,2026-08-20 07:16:13+00:00,Other
imgaug,aleju,Python,14739,2450,14739,311,2015-07-10 20:31:33+00:00,2026-08-14 13:12:26+00:00,MIT License
bullet3,bulletphysics,C++,14684,3088,14684,423,2011-04-12 18:45:08+00:00,2026-08-19 17:57:45+00:00,Other
ChatterBot,gunthercox,Python,14510,4419,14510,72,2014-09-28 14:49:00+00:00,2026-08-20 01:52:28+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
dlib,davisking,C++,14432,3442,14432,38,2014-01-29 00:45:33+00:00,2026-08-20 03:44:28+00:00,Boost Software License 1.0
nni,microsoft,Python,14364,1852,14364,415,2018-06-01 05:51:44+00:00,2026-08-19 11:48:19+00:00,MIT License
mit-deep-learning-book-pdf,janishar,Java,14200,2909,14200,12,2017-04-07 10:46:50+00:00,2026-08-20 00:49:47+00:00,No License
ivy,unifyai,Python,14170,5463,14170,985,2021-01-19 08:37:25+00:00,2026-08-20 08:22:35+00:00,Other
handson-ml3,ageron,Jupyter Notebook,13957,5253,13957,107,2022-02-19 09:43:22+00:00,2026-08-20 05:12:06+00:00,Apache License 2.0
machine-learning-zoomcamp,DataTalksClub,Jupyter Notebook,13956,3096,13956,3,2020-04-17 04:29:23+00:00,2026-08-20 05:59:37+00:00,No License
tvm,apache,Python,13672,3960,13672,236,2016-10-12 22:20:28+00:00,2026-08-20 03:24:14+00:00,Apache License 2.0
Ai-Learn,tangyudi,Unknown,13272,2674,13272,20,2020-01-28 01:55:06+00:00,2026-08-20 08:03:37+00:00,No License
deep-learning-drizzle,kmario23,HTML,12933,2988,12933,5,2018-11-26 01:17:36+00:00,2026-08-19 23:01:46+00:00,No License
machine-learning-interview,khangich,Unknown,12784,2044,12784,9,2020-08-11 06:26:32+00:00,2026-08-19 01:27:46+00:00,No License
python-machine-learning-book,rasbt,Jupyter Notebook,12641,4373,12641,13,2015-08-07 20:39:29+00:00,2026-08-17 16:24:50+00:00,MIT License
predictionio,apache,Scala,12519,1898,12519,80,2013-01-25 19:42:32+00:00,2026-08-19 06:22:39+00:00,Apache License 2.0
lime,marcotcr,JavaScript,12165,1847,12165,133,2016-03-15 22:18:10+00:00,2026-08-17 22:12:58+00:00,"BSD 2-Clause ""Simplified"" License"
cleanlab,cleanlab,Python,11629,916,11629,121,2018-05-11 01:55:21+00:00,2026-08-20 03:14:22+00:00,Apache License 2.0
dive-into-machine-learning,dive-into-machine-learning,Unknown,11391,1866,11391,0,2015-02-22 23:48:16+00:00,2026-08-20 06:02:09+00:00,Creative Commons Attribution 4.0 International
